track_id,title,song_id,release,artist_id,artist_name,year,duration,artist_hotttnesss,artist_familiarity
TRMMMYQ128F932D901,Silent Night,SOQMMHC12AB0180CB8,Monster Ballads X-Mas,ARYZTJS1187B98C555,Faster Pussy cat,2003,252.05506,0.394031892714,0.649822100201
TRMMMKD128F425225D,Tanssi vaan,SOVFVAK12A8C1350D9,Karkuteillä,ARMVN3U1187FB3A1EB,Karkkiautomaatti,1995,156.55138,0.356992107756,0.439603966677
TRMMMRX128F93187D9,No One Could Ever,SOGTUKN12AB017F4F1,Butter,ARGEKB01187FB50750,Hudson Mohawke,2006,138.97098,0.437503836595,0.643680572058
TRMMMCH128F425532C,Si Vos Querés,SOBNYVR12A8C13558C,De Culo,ARNWYLR1187B9B2F9C,Yerba Brava,2003,145.05751,0.372349068517,0.448501159656
TRMMMWA128F426B589,Tangle Of Aspens,SOHSBXH12A8C13B0DF,Rene Ablaze Presents Winter Sessions,AREQDTE1269FB37231,Der Mystic,0,514.29832,0,0
TRMMMXN128F42936A5,"Symphony No. 1 G minor ""Sinfonie Serieuse""/Allegro con energia",SOZVAPQ12A8C13B63C,Berwald: Symphonies Nos. 1/2/3/4,AR2NS5Y1187FB5879D,David Montgomery,0,816.53506,0.109625847059,0.361286979628
TRMMMLR128F1494097,We Have Got Love,SOQVRHI12A6D4FB2D7,Strictly The Best Vol. 34,ARO41T51187FB397AB,Sasha / Turbulence,0,212.37506,0.453731585999,0.692922730576
TRMMMBB12903CB7D21,2 Da Beat Ch'yall,SOEYRFT12AB018936C,Da Bomb,AR3Z9WY1187FB4CDC2,Kris Kross,1993,221.20444,0.401092425177,0.588156187675
TRMMMHY12903CB53F1,Goodbye,SOPMIYT12A6D4F851E,Danny Boy,ARA04401187B991E6E,Joseph Locke,0,139.17995,0.285901196045,0.408465463469
TRMMMML128F4280EE9,Mama_ mama can't you see ?,SOJCFMH12A8C13B0C2,March to cadence with the US marines,ARCVMYS12454A51E6E,The Sun Harbor's Chorus-Documentary Recordings,0,104.48934,0.24913722954,0.41994127477
TRMMMNS128F93548E1,L'antarctique,SOYGNWH12AB018191E,Des cobras des tarentules,AR59BSJ1187FB4474F,3 Gars Su'l Sofa,2007,68.96281,0.352948913868,0.555013966104
TRMMMXJ12903CBF111,El hijo del pueblo,SOLJTLX12AB01890ED,32 Grandes Éxitos  CD 2,ARCVIFR1187B99129F,Jorge Negrete,1997,168.22812,0.369096249987,0.541389764483
TRMMMCJ128F930BFF8,Cold Beer feat. Prince Metropolitan,SOQQESG12A58A7AA28,International Hardcore Superstar,ARVIT0V1187B9A7CDE,Danny Diablo,0,301.60934,0.451578962861,0.622005388118
TRMMMBW128F4260CAE,Pilots,SOMPVQB12A8C1379BB,The Loyal,AREMPER1187B9AEB42,Tiger Lou,2005,318.45832,0.406984727155,0.621826485807
TRMMMXI128F4285A3F,N Gana,SOGPCJI12A8C13CCA0,Afropea 3 - Telling Stories To The Sea,ARBAMQB1187FB3C650,Waldemar Bastos,0,273.18812,0.373679185802,0.543689917453
TRMMMKI128F931D80D,006,SOSDCFG12AB0184647,Lena 20 År,ARSB5591187B99A848,Lena Philipsson,1998,262.26893,0.410228511159,0.529819134567
TRMMMUT128F42646E8,(Looking For) The Heart Of Saturday,SOBARPM12A8C133DFF,Cover Girl,ARDW5AW1187FB55708,Shawn Colvin,1994,216.47628,0.44673296759,0.685502832087
TRMMMQY128F92F0EA3,Ethos of Coercion,SOKOVRQ12A8C142811,Descend Into Depravity,ARGWPP11187B9AEF43,Dying Fetus,2009,196.0224,0.511975832943,0.734471413543
TRMMMTK128F424EF7C,Rock-N-Rule,SOIMMJJ12AF72AD643,I'm Only A Man (Bonus Track Version),ARDT9VH1187B999C0B,Emery,2007,217.57342,0.563366896149,0.738995906455
