track_id,title,song_id,release,artist_id,artist_name,year,duration,artist_hotttnesss,artist_familiarity
TRCKIRK128F14A666E,Claro Y Meridiano,SOFTTJX12A6D4FC049,Alegato Meridional,ARGB2AD1187FB474D7,Grupo De Expertos Solynieve,2006,215.03955,0.333072472199,0.419460736393
TRLFOQA128F92F0269,Winter Wonderland,SOHISWL12AB017B91B,'A Classic FM Christmas' - The Ultimate Classical and Jazz Album,AR285BY1187FB3965B,Shirley Horn,1996,246.90893,0.377896692433,0.6301599883
TRFAZUV128F4268E5A,Dog Day Afternoon,SOMUBBW12A8C135566,Epic Recordings,ARA3VJJ1187FB3F5A6,Shelby Lynne,1990,222.37995,0.542502096105,0.685691649
TREWDUS128F4272A40,O Holy Night,SOKQKWO12A8C132ACB,Mr. Hankey's Christmas Classics,AR3GY781187B98C3E6,Eric Cartman,1999,118.9873,0.428964746451,0.590912988498
TROCQBS128F14AFDBF,Lanzelot,SOVKEXN12A6D4F80F8,Kreidler,ARI9UV41187B98AB58,Kreidler,2000,228.17914,0.338061349176,0.496290559316
TRYIJTN128F930240F,Du gik uden at se dig tilbage,SOBNPOW12AF72AA782,Vores Bedste,ARQZ0SI1187FB4870A,Danser Med Drenge,1993,293.3024,0.417793710255,0.426801705316
TRCQEUH128F92CA5AF,Big Rooms Bigger Tunes,SOUTVKK12A8C1440B3,Global Underground 2009,AR12E3Z1187FB4F269,Stu Hirst,2007,426.73587,0.254957921205,0.518361399399
TRNAZSA12903CB41F1,FM,SORMYSB12AB018B3AF,Cut,ARPSO1O1187FB4C6C2,The Slits,1979,214.54322,0.485944192015,0.739956823722
TRMMSHG128E07934C8,Swamp Thing,SOKMGOC12A679C8061,Strange Times,ARG6A591187B9B757A,The Chameleons UK,1986,359.02649,0.435724707852,0.651235060613
TRURHMT128F149C74F,It's Crazy,SOKJNKE12A582917EF,Ask A Woman Who Knows,ARBM4TC1187FB5CE98,Natalie Cole,2003,130.63791,0.505749777712,0.690446937791
TRZAJSW128F932C259,Schade um die Rosen,SOJHWSI12A8AE45D2F,Never mind the Hosen here's die Roten Rosen,ARMYQX01187FB562BD,Die Roten Rosen,2007,141.68771,0.413153193952,0.473624123748
TRXPUBS128F426BE2F,Girlfriend,SOCVFHI12A8C13B4D4,The Declaration,ARDAF601187FB4CD05,Ashanti,2008,210.46812,0.49434299881,0.801795345929
TRBQDUK128F426520B,Helft Mir,SOIFROS12A8C136969,Do The Bambi,ARILB0K1187FB53C60,Stereo Total,2005,157.1522,0.441540536948,0.721196152792
TRWCKSQ128EF34279B,The Overdraft (2007 Remastered LP Version),SOPACWX12A67ADE3D1,The Envoy,ARUQFUJ1187FB42AEC,Warren Zevon,1982,164.44036,0.471398997844,0.691744457552
TRFITTW128F932E4F8,Death Favours The Enemy,SODFVTW12AB0182DCA,Intelligence & Sacrifice,ARTI6QG1187B99CC38,Alec Empire,2002,230.68689,0.398062072097,0.73535497419
