track_id,title,song_id,release,artist_id,artist_name,year,duration,artist_hotttnesss,artist_familiarity
TRMEPEN128F425CDFD,Easy As The Rain,SOBKKUB12A8C136B9B,The Little Willies,ARAFLZ01187B99D8DF,The Little Willies,2006,195.29098,0.44791605071,0.61889092677
TRMQPUB12903CCA4D5,Ordaci glume donove,SOFVJQF12AB01891FF,Grupna terapija-Ko  te salje,ARNEPFC1269FCD0ECB,Struka,0,180.29669,0,0.325057363062
TRMFEON128F426F16A,Pillage,SOBOYLZ12A8C135630,Buio Omega,ARV2TA11187B9B00E3,Goblin,1997,140.61669,0.435818318037,0.608243150741
TRMEQQL128F92DAB15,Granny_ Will Your Dog Bite,SOAHJTE12AAF3B3C24,Living Country Blues USA Vol. 7 - Afro-American Blues Roots,ARNQCTM1269FCD60E3,Othar Turner & The Rising Star Fife And Drum Band,0,143.77751,0.191773333021,0
TRGPHYE128F92F86BF,Ruffion. RMX,SOTEEXD12A8C144D34,Sketches,ARZRWOF1187B9963A3,Nautilis,2002,228.28363,0.360058679007,0.518630714022
TRMUYAB128F92D1F5C,Tire-fesses,SOQOYUC12A8C142088,Chansons c,ARRPFCU1187FB5402E,Oldelaf_ Monsieur D,2005,186.53995,0.279976025033,0.360521011526
TRGCLRN12903CD6ED0,Call In Sick,SOUKEWX12AB018E206,They Came from the Shadows,ARE5LT91187B9B04DE,Teenage Bottlerocket,2009,132.91057,0.484978755611,0.757641682109
TRGWLON128F4275B38,Vestida para mi (directo Enjoy 07),SOBGEAD12A8C13A6A5,En Joy,ARIP54S1187FB53259,Jaime Urrutia,0,205.87057,0.383818661688,0.494282101888
TRWRSND128F1473E85,Macusa (Directo),SOAUDZZ12A58A79F91,Compay Compay,ARYTLZQ1187FB4DC7A,Compay Segundo,0,272.19546,0.399631764788,0.647637953973
TRWXGBB128F931573A,I've Got The Vibration(radio edit),SONMUNX12AB0182868,Positive Vibration,AROWNZP1187FB3C028,Black Box,0,209.21424,0.361992288025,0.611726027445
TRGROKM128F146F22E,Alegre,SOTNDZM12A6D4F8C71,Encontro Das Águas,ARHBVWA1187B99172D,Jorge Vercilo,2001,248.68526,0,0.574600241577
TRGPNMV128F14955BF,The Glorious Ones (The Life And Times Of Absolute Truth Album Version),SOLFSZA12A6D4F909B,The Life And Times Of Absolute Truth,ARWKO2O1187B9B5FA7,Tree63,2002,210.18077,0.430969663992,0.647587400319
TRWHUDZ128F933D61D,Scream and Scream Again - Original,SOQJCRI12AB0186C3C,Amen Corner Selected Hits Vol. 2,ARM0QUW1187B9B66CA,Amen Corner,0,216.00608,0.370778685792,0.523666198114
TRWTYMZ128F93263EB,The Only One,SOYLVFS12AB018418F,Can't Slow Down,ARIK43K1187B9AE54C,Lionel Richie,1983,267.2322,0.553071991462,0.776675855685
TRWSDOJ128F14A7FE4,Ohtu Ilu/Evening Song,SOXJVAL12A6D4FC99F,Saatus / Fate,AR241BM1187B9A59D9,Kirile Loo,0,128.15628,0.192760649034,0.353144793785
TRWLURD128F92F3E6B,D.I.S.E,SOKMSHV12A8C14153E,Electric Gypsies,ARZA2UD1187FB5AD99,Bernie Torme,0,154.80118,0,0.269652385183
TRMGVXH128F4233CB4,Message Outro,SOONKJM12A8C13177A,Pop-A-D-Ball,ARDBN3H1187FB4F49F,The Dirtball,0,676.96281,0.418061030441,0.6282777961
TRMWRLI128F9312988,Santa Cruz,SOZNBRX12AB017D6B0,Live in Seattle,ARXV8B11187FB382F9,It's A Beautiful Day,0,535.74485,0.366043278051,0.522272318723
TRMSPHE128F4227ACE,Llorarás,SOMXVRB12A58A76D09,La Tariacuri,ARHBFJN1187B9B90F8,Amalia Mendoza,0,145.18812,0.31897108026,0.417218441567
TRGFSCZ12903CB53F1,Wizard Island,SOZXZQF12AB0184D0B,Bangers,ARBOWKJ1272BCD1F2C,Barn Burner,2009,309.41995,0.364953033806,0.599032753323
TRGBYVI128F4265CE1,Never Give You Up,SOYDODW12A8C13B19B,Surprise,ARASSX21187FB528B7,Bizarre Inc,1996,267.44118,0.363538985243,0.540391914419
TRGUUGG128F4287369,By The Time You Get To Phoenix,SOECPVA12A8C13CA05,Wanda Jackson Country!,ARMEF2R1187FB4D37F,Wanda Jackson,0,133.90322,0.397720678432,0.647978892291
TRMNHMH128F9353E94,Bounce Dat Azz,SOGGNFI12AB01831F4,Straight Out Da Bottle,AR0CZ5J1187B9B8733,G.I.N.,0,230.66077,0.447429104324,0.0460625367062
